t,tau_R
0.0,inf
0.005,inf
0.01,inf
0.015,inf
0.02,inf
0.025,inf
0.030000000000000002,inf
0.035,inf
0.04,inf
0.045,inf
0.049999999999999996,inf
0.05499999999999999,inf
0.05999999999999999,inf
0.06499999999999999,inf
0.06999999999999999,inf
0.075,inf
0.08,inf
0.085,inf
0.09000000000000001,inf
0.09500000000000001,inf
0.10000000000000002,inf
0.10500000000000002,inf
0.11000000000000003,inf
0.11500000000000003,inf
0.12000000000000004,inf
0.12500000000000003,inf
0.13000000000000003,inf
0.13500000000000004,inf
0.14000000000000004,inf
0.14500000000000005,inf
0.15000000000000005,inf
0.15500000000000005,inf
0.16000000000000006,inf
0.16500000000000006,inf
0.17000000000000007,inf
0.17500000000000007,inf
0.18000000000000008,inf
0.18500000000000008,inf
0.19000000000000009,inf
0.1950000000000001,inf
0.2000000000000001,inf
0.2050000000000001,inf
0.2100000000000001,inf
0.2150000000000001,inf
0.2200000000000001,inf
0.22500000000000012,inf
0.23000000000000012,inf
0.23500000000000013,inf
0.24000000000000013,inf
0.24500000000000013,inf
0.2500000000000001,inf
0.2550000000000001,inf
0.2600000000000001,inf
0.2650000000000001,inf
0.27000000000000013,inf
0.27500000000000013,inf
0.28000000000000014,inf
0.28500000000000014,inf
0.29000000000000015,inf
0.29500000000000015,inf
0.30000000000000016,inf
0.30500000000000016,inf
0.31000000000000016,inf
0.31500000000000017,inf
0.3200000000000002,inf
0.3250000000000002,inf
0.3300000000000002,inf
0.3350000000000002,inf
0.3400000000000002,inf
0.3450000000000002,inf
0.3500000000000002,inf
0.3550000000000002,inf
0.3600000000000002,inf
0.3650000000000002,inf
0.3700000000000002,inf
0.3750000000000002,inf
0.3800000000000002,inf
0.38500000000000023,inf
0.39000000000000024,inf
0.39500000000000024,inf
0.40000000000000024,inf
0.40500000000000025,inf
0.41000000000000025,inf
0.41500000000000026,inf
0.42000000000000026,inf
0.42500000000000027,inf
0.43000000000000027,inf
0.4350000000000003,inf
0.4400000000000003,inf
0.4450000000000003,inf
0.4500000000000003,inf
0.4550000000000003,inf
0.4600000000000003,inf
0.4650000000000003,inf
0.4700000000000003,inf
0.4750000000000003,inf
0.4800000000000003,inf
0.4850000000000003,inf
0.4900000000000003,inf
0.49500000000000033,inf
0.5000000000000003,inf
0.5050000000000003,inf
0.5100000000000003,inf
0.5150000000000003,inf
0.5200000000000004,inf
0.5250000000000004,inf
0.5300000000000004,inf
0.5350000000000004,inf
0.5400000000000004,inf
0.5450000000000004,inf
0.5500000000000004,inf
0.5550000000000004,inf
0.5600000000000004,inf
0.5650000000000004,inf
0.5700000000000004,inf
0.5750000000000004,inf
0.5800000000000004,inf
0.5850000000000004,inf
0.5900000000000004,inf
0.5950000000000004,inf
0.6000000000000004,inf
0.6050000000000004,inf
0.6100000000000004,inf
0.6150000000000004,inf
0.6200000000000004,inf
0.6250000000000004,inf
0.6300000000000004,inf
0.6350000000000005,inf
0.6400000000000005,inf
0.6450000000000005,inf
0.6500000000000005,inf
0.6550000000000005,inf
0.6600000000000005,inf
0.6650000000000005,inf
0.6700000000000005,inf
0.6750000000000005,inf
0.6800000000000005,inf
0.6850000000000005,inf
0.6900000000000005,inf
0.6950000000000005,inf
0.7000000000000005,inf
0.7050000000000005,inf
0.7100000000000005,inf
0.7150000000000005,inf
0.7200000000000005,inf
0.7250000000000005,inf
0.7300000000000005,inf
0.7350000000000005,inf
0.7400000000000005,inf
0.7450000000000006,inf
0.7500000000000006,inf
0.7550000000000006,inf
0.7600000000000006,inf
0.7650000000000006,inf
0.7700000000000006,inf
0.7750000000000006,inf
0.7800000000000006,inf
0.7850000000000006,inf
0.7900000000000006,inf
0.7950000000000006,inf
0.8000000000000006,inf
0.8050000000000006,inf
0.8100000000000006,inf
0.8150000000000006,inf
0.8200000000000006,inf
0.8250000000000006,inf
0.8300000000000006,inf
0.8350000000000006,inf
0.8400000000000006,inf
0.8450000000000006,inf
0.8500000000000006,inf
0.8550000000000006,inf
0.8600000000000007,inf
0.8650000000000007,inf
0.8700000000000007,inf
0.8750000000000007,inf
0.8800000000000007,inf
0.8850000000000007,inf
0.8900000000000007,inf
0.8950000000000007,inf
0.9000000000000007,inf
0.9050000000000007,inf
0.9100000000000007,inf
0.9150000000000007,inf
0.9200000000000007,inf
0.9250000000000007,inf
0.9300000000000007,inf
0.9350000000000007,inf
0.9400000000000007,inf
0.9450000000000007,inf
0.9500000000000007,inf
0.9550000000000007,inf
0.9600000000000007,inf
0.9650000000000007,inf
0.9700000000000008,inf
0.9750000000000008,inf
0.9800000000000008,inf
0.9850000000000008,inf
0.9900000000000008,inf
0.9950000000000008,inf
1.0000000000000007,inf
1.0050000000000006,inf
1.0100000000000005,inf
1.0150000000000003,inf
1.0200000000000002,inf
1.0250000000000001,inf
1.03,inf
1.035,inf
1.0399999999999998,inf
1.0449999999999997,inf
1.0499999999999996,inf
1.0549999999999995,inf
1.0599999999999994,inf
1.0649999999999993,inf
1.0699999999999992,inf
1.074999999999999,inf
1.079999999999999,inf
1.0849999999999989,inf
1.0899999999999987,inf
1.0949999999999986,inf
1.0999999999999985,inf
1.1049999999999984,inf
1.1099999999999983,inf
1.1149999999999982,inf
1.119999999999998,inf
1.124999999999998,inf
1.129999999999998,inf
1.1349999999999978,inf
1.1399999999999977,inf
1.1449999999999976,inf
1.1499999999999975,inf
1.1549999999999974,inf
1.1599999999999973,inf
1.1649999999999971,inf
1.169999999999997,inf
1.174999999999997,inf
1.1799999999999968,inf
1.1849999999999967,inf
1.1899999999999966,inf
1.1949999999999965,inf
1.1999999999999964,inf
1.2049999999999963,inf
1.2099999999999962,inf
1.214999999999996,inf
1.219999999999996,inf
1.2249999999999959,inf
1.2299999999999958,inf
1.2349999999999957,inf
1.2399999999999956,inf
1.2449999999999954,inf
1.2499999999999953,inf
1.2549999999999952,inf
1.2599999999999951,inf
1.264999999999995,inf
1.269999999999995,inf
1.2749999999999948,inf
1.2799999999999947,inf
1.2849999999999946,inf
1.2899999999999945,inf
1.2949999999999944,inf
1.2999999999999943,inf
1.3049999999999942,inf
1.309999999999994,inf
1.314999999999994,inf
1.3199999999999938,inf
1.3249999999999937,inf
1.3299999999999936,inf
1.3349999999999935,inf
1.3399999999999934,inf
1.3449999999999933,inf
1.3499999999999932,inf
1.354999999999993,inf
1.359999999999993,inf
