t,omega,F,S,C,tau_R,IC,kappa
0.0,5.189038502081811,0.7310571797136469,3.0977209171803834,8.983719574756117,0.25,1.0,9.999999889225291e-11
0.01,6.225987431847832,0.7328712687513278,3.108100303297742,8.983719574756117,0.2,1.0,1.9999999778450582e-10
0.02,6.883848155890369,0.7351795178453369,3.128213202854252,0.3677013156330021,0.18,1.0,2.999999966767587e-10
0.03,7.102159343808587,0.7376284257703833,3.1575773472790614,7.675399081849172,0.16,1.0,3.9999999556901164e-10
0.04,6.058439499599005,0.7400125763129528,3.2043877378545766,33.80513650038439,0.55,1.0,4.999999944612646e-10
0.05,4.443000055859311,0.7405475431168465,3.220353060656246,45.79039900776299,0.54,1.0,5.999999933535174e-10
0.06,3.3727768335433437,0.7419142910794876,3.2385047427469678,8.194332795172564,0.55,1.0,6.999999922457704e-10
0.07,1.535415241979912,0.7421934531291805,3.3223339704756456,63.49286004348341,0.55,1.0,7.999999911380233e-10
0.08,0.6826936376736211,0.742238169913922,3.347887915504649,59.22795641925484,0.53,1.0,8.999999900302762e-10
0.09,-0.12338808005056359,0.7418987016211486,3.34972420701537,96.99788898945152,0.53,1.0,9.999999889225292e-10
0.1,0.18516281590250716,0.7419736475995071,3.364768490160926,89.10334920403257,0.49,1.0,1.099999987814782e-09
0.11,-0.6865109387121753,0.741397352767067,3.3710446325126484,35.84307038601951,0.48,1.0,1.1999999867070349e-09
0.12,0.2105317788143537,0.7403948165083845,3.38047156194516,73.59646532053132,0.47000000000000003,1.0,1.2999999855992877e-09
0.13,-0.366386237826167,0.7401260437866498,3.5198363885154436,121.26690440512084,0.48,1.0,1.3999999844915405e-09
0.14,-0.880757535836439,0.7401793556166303,3.5515590496313756,130.6886019914143,0.45,1.0,1.4999999833837933e-09
0.15,-1.5193811976577898,0.7397603573499125,3.5660568276528415,103.0842753659094,0.47000000000000003,1.0,1.5999999822760462e-09
0.16,-1.68969503672031,0.7409160761015335,3.5710636537354836,84.16087650624846,0.43,1.0,1.699999981168299e-09
0.17,-3.3149664051472554,0.7425417343634704,3.6064532166255443,75.19872446504179,0.42,1.0,1.7999999800605516e-09
0.18,-3.050941905195821,0.7437044002041038,3.642159170724016,14.30363206047279,0.42,1.0,1.8999999789528046e-09
0.19,-4.718077735252306,0.7452520852642466,3.6434374081939023,70.10122461343252,0.41000000000000003,1.0,1.9999999778450572e-09
0.2,-4.509587046578053,0.7469628295445551,3.6825579221712696,72.92827095218458,0.37,1.0,2.0999999767373103e-09
0.21,-2.690544293230226,0.7487380640461958,3.684100091104324,59.810358429430806,0.36,1.0,2.199999975629563e-09
0.22,-3.2299538828477323,0.7504479514485307,3.690429258216473,78.2484436505143,0.34,1.0,2.2999999745218155e-09
0.23,-3.4613875100409293,0.7521262399239032,3.6979119268969223,64.18910254851951,0.33,1.0,2.399999973414069e-09
0.24,-2.304696470977398,0.7535258815375765,3.702377806111123,134.7853681338385,0.32,1.0,2.499999972306322e-09
0.25,-1.4586934575382453,0.7550712975084003,3.7134724140651896,38.08534656175039,0.29,1.0,2.599999971198575e-09
0.26,0.3599946930489373,0.7561997608443406,3.722349580203519,46.332779415815224,0.28,1.0,2.699999970090828e-09
0.27,-1.5202968498558096,0.7575554318255204,3.7377959426881056,35.940891326078074,0.27,1.0,2.799999968983081e-09
0.28,-1.4636312747137565,0.7585417878863798,3.7374598660255427,20.971023222141657,0.26,1.0,2.899999967875334e-09
0.29,-0.3049427574949628,0.7593311027707003,3.736005256637699,214.700987870579,0.27,1.0,2.999999966767587e-09
0.3,-1.4479165441496509,0.7598830508393645,3.735250857928217,206.88656723988547,0.24,1.0,3.09999996565984e-09
0.31,0.5777728373854139,0.7603746074061023,3.735577320570079,40.987108038644855,0.23,1.0,3.199999964552093e-09
0.32,-1.974493723308893,0.7614897018967677,3.7369803519842515,134.02818775868008,0.22,1.0,3.299999963444346e-09
0.33,-1.8876569397400245,0.7619106594497942,3.737951966155178,273.276175851078,0.21,1.0,3.399999962336599e-09
0.34,-0.5243717753460803,0.7627929649654992,3.7401740752156614,299.50592065589655,0.21,1.0,3.4999999612288522e-09
0.35000000000000003,-1.0522640208877037,0.7632766351353141,3.7418033170507927,207.3884357049221,0.19,1.0,3.5999999601211057e-09
0.36,-3.3960423118600724,0.7636547769842774,3.742461325913214,104.39974105894127,0.18,1.0,3.6999999590133587e-09
0.37,-2.355873574539533,0.7645002048754603,3.7430371183653053,58.730548354219,0.17,1.0,3.799999957905612e-09
0.38,-4.733762386024523,0.7652587371326918,3.7427189072139875,155.23422300180664,0.16,1.0,3.899999956797865e-09
0.39,-2.7932473138385436,0.7639640220532017,3.741725352928394,102.9901468754358,0.54,1.0,3.999999955690118e-09
0.4,-4.31684900405697,0.7634603136322557,3.739685245299926,21.61918662505217,0.53,1.0,4.099999954582371e-09
0.41000000000000003,-4.5371179344037875,0.7626752054853336,3.739451334656392,11.914184978859666,0.52,1.0,4.199999953474624e-09
0.42,-4.6388266645081275,0.7609348354751951,3.7384245673763092,31.86950216072251,0.51,1.0,4.299999952366877e-09
0.43,-3.5436903944285554,0.7599748060339617,3.737693959206328,7.608908924755029,0.53,1.0,4.39999995125913e-09
0.44,-2.7434394798228037,0.7582158058104589,3.7387513132487884,49.2375556022516,0.54,1.0,4.499999950151383e-09
0.45,-2.730532153141226,0.7565051101554394,3.7390180023217003,57.728392570300535,0.53,1.0,4.599999949043636e-09
0.46,-1.51445655561211,0.7534593563984768,3.737936161772644,59.68105360557945,0.54,1.0,4.699999947935889e-09
0.47000000000000003,-1.400168083313568,0.7486774066216633,3.737427709382206,20.11243958654436,0.53,1.0,4.799999946828142e-09
0.48,0.8608049453302798,0.7433447949464032,3.7370027721624446,67.78176371308655,0.52,1.0,4.899999945720394e-09
0.49,0.23741225784368336,0.7410450745337609,3.736987324129718,82.06674968937193,0.49,1.0,4.999999944612646e-09
0.5,3.1974405328225077,0.7371914931604053,3.7374356159286704,98.79159092145642,0.5,1.0,5.099999943504899e-09
0.51,6.022769150885848,0.7355404535148822,3.7379834001732655,98.77437378535828,0.45,1.0,5.199999942397152e-09
0.52,6.452432959696062,0.7342457800853193,3.737841873384393,130.45181361730073,0.44,1.0,5.299999941289405e-09
0.53,6.369572311333858,0.7329664943862569,3.738599483566183,90.60527785091615,0.4,1.0,5.399999940181657e-09
0.54,8.142336278281554,0.7318613281642005,3.7392865397899655,182.84022291344442,0.28,1.0,5.499999939073909e-09
0.55,6.672359208895931,0.7319646976168341,3.740345381344824,68.49401454829919,0.25,1.0,5.599999937966162e-09
0.56,10.029471484102704,0.7316203398595631,3.7402202920302154,20.244650927428648,0.22,0.0,-0.18420680183952373
0.5700000000000001,7.466173168150078,0.7316003984549564,3.7391654223416015,105.02379023552125,0.18,1.0,-0.18420680173952372
