t,channel,oor,rate
0.0,az,0,0.0
0.01,az,0,0.0
0.02,az,0,0.0
0.03,az,0,0.0
0.04,az,0,0.0
0.05,az,0,0.0
0.06,az,0,0.0
0.07,az,0,0.0
0.08,az,0,0.0
0.09,az,0,0.0
0.1,az,0,0.0
0.11,az,0,0.0
0.12,az,0,0.0
0.13,az,0,0.0
0.14,az,0,0.0
0.15,az,0,0.0
0.16,az,0,0.0
0.17,az,0,0.0
0.18,az,0,0.0
0.19,az,0,0.0
0.2,az,0,0.0
0.21,az,0,0.0
0.22,az,0,0.0
0.23,az,0,0.0
0.24,az,0,0.0
0.25,az,0,0.0
0.26,az,0,0.0
0.27,az,0,0.0
0.28,az,0,0.0
0.29,az,0,0.0
0.3,az,0,0.0
0.31,az,0,0.0
0.32,az,0,0.0
0.33,az,0,0.0
0.34,az,0,0.0
0.35000000000000003,az,0,0.0
0.36,az,0,0.0
0.37,az,0,0.0
0.38,az,0,0.0
0.39,az,0,0.0
0.4,az,0,0.0
0.41000000000000003,az,0,0.0
0.42,az,0,0.0
0.43,az,0,0.0
0.44,az,0,0.0
0.45,az,0,0.0
0.46,az,0,0.0
0.47000000000000003,az,0,0.0
0.48,az,0,0.0
0.49,az,0,0.0
0.5,az,0,0.0
0.51,az,0,0.0
0.52,az,0,0.0
0.53,az,0,0.0
0.54,az,0,0.0
0.55,az,0,0.0
0.56,az,0,0.0
0.5700000000000001,az,0,0.0
0.58,az,0,0.0
0.59,az,0,0.0
0.6,az,0,0.0
0.61,az,0,0.0
0.62,az,0,0.0
0.63,az,0,0.0
0.64,az,0,0.0
0.65,az,0,0.0
0.66,az,0,0.0
0.67,az,0,0.0
0.68,az,0,0.0
0.6900000000000001,az,0,0.0
0.7000000000000001,az,0,0.0
0.71,az,0,0.0
0.72,az,0,0.0
0.73,az,0,0.0
0.74,az,0,0.0
0.75,az,0,0.0
0.76,az,0,0.0
0.77,az,0,0.0
0.78,az,0,0.0
0.79,az,0,0.0
0.8,az,0,0.0
0.81,az,0,0.0
0.8200000000000001,az,0,0.0
0.8300000000000001,az,0,0.0
0.84,az,0,0.0
0.85,az,0,0.0
0.86,az,0,0.0
0.87,az,0,0.0
0.88,az,0,0.0
0.89,az,0,0.0
0.9,az,0,0.0
0.91,az,0,0.0
0.92,az,0,0.0
0.93,az,0,0.0
0.9400000000000001,az,0,0.0
0.9500000000000001,az,0,0.0
0.96,az,0,0.0
0.97,az,0,0.0
0.98,az,0,0.0
0.99,az,0,0.0
1.0,az,0,0.0
1.01,az,0,0.0
1.02,az,0,0.0
1.03,az,0,0.0
1.04,az,0,0.0
1.05,az,0,0.0
1.06,az,0,0.0
1.07,az,0,0.0
1.08,az,0,0.0
1.09,az,0,0.0
1.1,az,0,0.0
1.11,az,0,0.0
1.12,az,0,0.0
1.1300000000000001,az,0,0.0
1.1400000000000001,az,0,0.0
1.1500000000000001,az,0,0.0
1.16,az,0,0.0
1.17,az,0,0.0
1.18,az,0,0.0
1.19,az,0,0.0
1.2,az,0,0.0
1.21,az,0,0.0
1.22,az,0,0.0
1.23,az,0,0.0
1.24,az,0,0.0
1.25,az,0,0.0
1.26,az,0,0.0
1.27,az,0,0.0
1.28,az,0,0.0
1.29,az,0,0.0
1.3,az,0,0.0
1.31,az,0,0.0
1.32,az,0,0.0
1.33,az,0,0.0
1.34,az,0,0.0
1.35,az,0,0.0
1.36,az,0,0.0
1.37,az,0,0.0
1.3800000000000001,az,0,0.0
1.3900000000000001,az,0,0.0
1.4000000000000001,az,0,0.0
1.41,az,0,0.0
1.42,az,0,0.0
1.43,az,0,0.0
1.44,az,0,0.0
1.45,az,0,0.0
1.46,az,0,0.0
1.47,az,0,0.0
1.48,az,0,0.0
1.49,az,0,0.0
1.5,az,0,0.0
1.51,az,0,0.0
1.52,az,0,0.0
1.53,az,0,0.0
1.54,az,0,0.0
1.55,az,0,0.0
1.56,az,0,0.0
1.57,az,0,0.0
1.58,az,0,0.0
1.59,az,0,0.0
1.6,az,0,0.0
1.61,az,0,0.0
1.62,az,0,0.0
1.6300000000000001,az,0,0.0
1.6400000000000001,az,0,0.0
1.6500000000000001,az,0,0.0
1.6600000000000001,az,0,0.0
1.67,az,0,0.0
1.68,az,0,0.0
1.69,az,0,0.0
1.7,az,0,0.0
1.71,az,0,0.0
1.72,az,0,0.0
1.73,az,0,0.0
1.74,az,0,0.0
1.75,az,0,0.0
1.76,az,0,0.0
1.77,az,0,0.0
1.78,az,0,0.0
1.79,az,0,0.0
1.8,az,0,0.0
1.81,az,0,0.0
1.82,az,0,0.0
1.83,az,0,0.0
1.84,az,0,0.0
1.85,az,0,0.0
1.86,az,0,0.0
1.87,az,0,0.0
