t,tau_R
0.0,inf
0.01,inf
0.02,inf
0.03,inf
0.04,inf
0.05,inf
0.06,inf
0.07,inf
0.08,inf
0.09,inf
0.1,inf
0.11,inf
0.12,inf
0.13,inf
0.14,inf
0.15,inf
0.16,inf
0.17,inf
0.18,inf
0.19,inf
0.2,inf
0.21,inf
0.22,inf
0.23,inf
0.24,inf
0.25,inf
0.26,inf
0.27,inf
0.28,inf
0.29,inf
0.3,inf
0.31,inf
0.32,inf
0.33,inf
0.34,inf
0.35000000000000003,inf
0.36,inf
0.37,inf
0.38,inf
0.39,inf
0.4,inf
0.41000000000000003,inf
0.42,inf
0.43,inf
0.44,inf
0.45,inf
0.46,inf
0.47000000000000003,inf
0.48,inf
0.49,inf
0.5,inf
0.51,inf
0.52,inf
0.53,inf
0.54,inf
0.55,inf
0.56,inf
0.5700000000000001,inf
0.58,inf
0.59,inf
0.6,inf
0.61,inf
0.62,inf
0.63,inf
0.64,inf
0.65,inf
0.66,inf
0.67,inf
0.68,inf
0.6900000000000001,inf
0.7000000000000001,inf
0.71,inf
0.72,inf
0.73,inf
0.74,inf
0.75,1.0
0.76,1.0
0.77,1.0
0.78,1.0
0.79,1.0
0.8,1.0
0.81,1.0
0.8200000000000001,1.0
0.8300000000000001,1.0
0.84,1.0
0.85,1.0
0.86,1.0
0.87,1.0
0.88,1.0
0.89,1.0
0.9,1.0
0.91,1.0
0.92,1.0
0.93,1.0
0.9400000000000001,1.0
0.9500000000000001,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
1.01,1.0
1.02,1.0
1.03,1.0
1.04,1.0
1.05,1.0
1.06,1.0
1.07,1.0
1.08,1.0
1.09,1.0
1.1,1.0
1.11,1.0
1.12,1.0
1.1300000000000001,1.0
1.1400000000000001,1.0
1.1500000000000001,1.0
1.16,1.0
1.17,1.0
1.18,1.0
1.19,1.0
1.2,1.0
1.21,1.0
1.22,1.0
1.23,1.0
1.24,1.0
1.25,1.0
1.26,1.0
1.27,1.0
1.28,1.0
1.29,1.0
1.3,1.0
1.31,1.0
1.32,1.0
1.33,1.0
1.34,1.0
1.35,1.0
1.36,1.0
1.37,1.0
1.3800000000000001,1.0
1.3900000000000001,1.0
1.4000000000000001,1.0
1.41,1.0
1.42,1.0
1.43,1.0
1.44,1.0
1.45,1.0
1.46,1.0
1.47,1.0
1.48,1.0
1.49,1.0
1.5,1.0
1.51,1.0
1.52,1.0
1.53,1.0
1.54,1.0
1.55,1.0
1.56,1.0
1.57,1.0
1.58,1.0
1.59,1.0
1.6,1.0
1.61,1.0
1.62,1.0
1.6300000000000001,1.0
1.6400000000000001,1.0
1.6500000000000001,1.0
1.6600000000000001,1.0
1.67,1.0
1.68,1.0
1.69,1.0
1.7,1.0
1.71,1.0
1.72,1.0
1.73,1.0
1.74,1.0
1.75,1.0
1.76,1.0
1.77,1.0
1.78,1.0
1.79,1.0
1.8,1.0
1.81,1.0
1.82,1.0
1.83,1.0
1.84,1.0
1.85,1.0
1.86,1.0
1.87,1.0
1.8800000000000001,1.0
1.8900000000000001,1.0
1.9000000000000001,1.0
1.9100000000000001,1.0
1.92,1.0
1.93,1.0
1.94,1.0
1.95,1.0
1.96,1.0
1.97,1.0
1.98,1.0
1.99,1.0
2.0,1.0
2.0100000000000002,1.0
2.02,1.0
2.0300000000000002,1.0
2.04,1.0
2.05,1.0
2.06,1.0
2.07,1.0
2.08,1.0
2.09,1.0
2.1,1.0
2.11,1.0
2.12,1.0
2.13,1.0
2.14,1.0
2.15,1.0
2.16,1.0
2.17,1.0
2.18,1.0
2.19,1.0
2.2,1.0
2.21,1.0
2.22,1.0
2.23,1.0
2.24,1.0
2.25,1.0
2.2600000000000002,1.0
2.27,1.0
2.2800000000000002,1.0
2.29,1.0
2.3000000000000003,1.0
2.31,1.0
2.32,1.0
2.33,1.0
2.34,1.0
2.35,1.0
2.36,1.0
2.37,1.0
2.38,1.0
2.39,1.0
2.4,1.0
2.41,1.0
2.42,1.0
2.43,1.0
2.44,1.0
2.45,1.0
2.46,1.0
2.47,1.0
2.48,1.0
2.49,1.0
2.5,1.0
2.5100000000000002,1.0
2.52,1.0
2.5300000000000002,1.0
2.54,1.0
2.5500000000000003,1.0
2.56,1.0
2.57,1.0
2.58,1.0
2.59,1.0
2.6,1.0
2.61,1.0
2.62,1.0
2.63,1.0
2.64,1.0
2.65,1.0
2.66,1.0
2.67,1.0
2.68,1.0
2.69,1.0
2.7,1.0
2.71,1.0
2.72,1.0
2.73,1.0
2.74,1.0
2.75,1.0100000000000002
2.7600000000000002,1.0100000000000002
2.77,1.0100000000000002
2.7800000000000002,1.0100000000000002
2.79,1.0100000000000002
2.8000000000000003,1.0100000000000002
2.81,1.0100000000000002
2.82,1.0100000000000002
2.83,1.0100000000000002
2.84,1.0100000000000002
2.85,1.0100000000000002
2.86,1.0100000000000002
2.87,1.0100000000000002
2.88,1.0100000000000002
2.89,1.0100000000000002
2.9,1.0100000000000002
2.91,1.0100000000000002
2.92,1.0100000000000002
2.93,1.0100000000000002
2.94,1.0100000000000002
2.95,1.0100000000000002
2.96,1.0100000000000002
2.97,1.0100000000000002
2.98,1.0100000000000002
2.99,1.0100000000000002
3.0,1.0100000000000002
3.0100000000000002,1.0100000000000002
3.02,1.0100000000000002
3.0300000000000002,1.0100000000000002
3.04,1.0100000000000002
3.0500000000000003,1.0100000000000002
3.06,1.0100000000000002
3.0700000000000003,1.0100000000000002
3.08,1.0100000000000002
3.09,1.0100000000000002
3.1,1.0100000000000002
3.11,1.0100000000000002
3.12,1.0100000000000002
3.13,1.0100000000000002
3.14,1.0100000000000002
3.15,1.0100000000000002
