t,omega,F,S,C,tau_R,IC,kappa,kappa_cum,omega_gate,S_gate,C_gate,regime_gate
0.0,0.0445472360891075,0.9554527639108924,0.0,0.2832244966167871,inf,0.997839463180165,-0.0021628641250517,-1.08143206252588e-05,0.0032277011317582423,0.0,0.05031430692775396,Stable
0.005,0.0445472360891075,0.9554527639108924,0.0482897902684352,0.2832244966167871,inf,0.997839463180165,-0.0021628641250517,-2.16286412505176e-05,0.0032277011317582423,0.00726502138404219,0.05031430692775396,Stable
0.01,0.1123020221373133,0.8876979778626867,0.0952748268528319,0.3152384973551811,inf,0.9863484027653768,-0.01374562699376,-9.03567762193177e-05,0.008136921519132737,0.014333747373907788,0.05600153482780498,Stable
0.015,0.19124113319701,0.8087588668029899,0.1405731020148077,0.531769742164348,inf,0.9609226322055164,-0.039861370436603,-0.0002896636284023,0.013856509993661534,0.021148706310001868,0.0944679091736578,Stable
0.02,0.3859817163454735,0.6140182836545265,0.1839432475215548,0.1943499160740266,inf,0.8501210698453245,-0.1623764927655154,-0.0011015460922299,0.027966575079859994,0.027673585229210915,0.03452590240441867,Stable
0.025,0.4273464488122303,0.5726535511877697,0.2258567785227832,0.0127763218664925,inf,0.8195135220864381,-0.199044368321481,-0.0020967679338373,0.03096368568691904,0.03397932185204481,0.002269689901393849,Stable
0.03,0.4295655780736656,0.5704344219263344,0.2662214858531451,0.4179855266694882,inf,0.8178167843849938,-0.201116935208417,-0.0031023526098794,0.031124474248847442,0.04005204364863062,0.07425435416577947,Stable
0.035,0.5527114273973034,0.4472885726026966,0.3052987592349047,0.3887332383119837,inf,0.7168018622616472,-0.3329558053526634,-0.0047671316366427,0.040047092847185696,0.04593107574155144,0.0690577393519484,Stable
0.04,0.6320995037693045,0.3679004962306955,0.3429205732134613,0.1474605018233755,inf,0.6469589804790753,-0.4354723706028062,-0.0069444934896567,0.04579921141726849,0.051591139318993194,0.026196084862322538,Stable
0.045,0.6617582998179612,0.3382417001820388,0.3793328946326589,0.4697910322717382,inf,0.6204583544001795,-0.4772967766690771,-0.0093309773730021,0.04794816021807285,0.05706923918819066,0.08345750622555999,Stable
0.0499999999999999,0.7265289709464046,0.2734710290535954,0.4148127712724589,0.2511319001408548,inf,0.5625351721755587,-0.5753016007696048,-0.0122074853768501,0.052641164472878595,0.06240705616893272,0.0446131166405897,Stable
0.0549999999999999,0.7265289709464046,0.2734710290535954,0.449230550102702,0.5104297760768396,inf,0.5625351721755587,-0.5753016007696048,-0.0150839933806981,0.052641164472878595,0.06758508443956686,0.09067690374728918,Stable
0.0599999999999999,0.7840317548325253,0.2159682451674747,0.4826008330876342,0.6816793980139397,inf,0.5117226096796441,-0.6699725591849509,-0.0184338561766229,0.05680756887689647,0.07260552081192237,0.12109908170975284,Stable
0.0649999999999999,0.8435676055609221,0.1564323944390778,0.5150473382849673,0.6404730776604347,inf,0.4604342588506199,-0.7755851721271976,-0.0223117820372589,0.06112128056019489,0.07748697821286998,0.11377885526608186,Stable
0.0699999999999999,0.905306662178431,0.0946933378215689,0.5466306251461468,0.298668022319247,inf,0.4093164433618846,-0.8932666975087226,-0.0267781155248025,0.06559462706634873,0.08223856758920221,0.053057820647513784,Stable
0.075,0.8435676055609221,0.1564323944390778,0.5775328099848828,0.5859790341491369,inf,0.4604342588506199,-0.7755851721271976,-0.0306560413854385,0.06112128056019489,0.08688768767067397,0.10409808942939079,Stable
0.08,0.8435676055609221,0.1564323944390778,0.6076285941419942,0.6999676110558949,inf,0.4604342588506199,-0.7755851721271976,-0.0345339672460745,0.06112128056019489,0.09141548773473537,0.12434794886335253,Stable
0.085,0.916590224366601,0.083409775633399,0.6370731141221244,0.2833346868336112,inf,0.400247375135528,-0.91567246020466,-0.0391123295470978,0.06641218545251147,0.09584530749807217,0.05033388201555868,Stable
