t,tau_R
0.0,0.25
0.01,0.2
0.02,0.18
0.03,0.16
0.04,0.55
0.05,0.54
0.06,0.55
0.07,0.55
0.08,0.53
0.09,0.53
0.1,0.49
0.11,0.48
0.12,0.47000000000000003
0.13,0.48
0.14,0.45
0.15,0.47000000000000003
0.16,0.43
0.17,0.42
0.18,0.42
0.19,0.41000000000000003
0.2,0.37
0.21,0.36
0.22,0.34
0.23,0.33
0.24,0.32
0.25,0.29
0.26,0.28
0.27,0.27
0.28,0.26
0.29,0.27
0.3,0.24
0.31,0.23
0.32,0.22
0.33,0.21
0.34,0.21
0.35000000000000003,0.19
0.36,0.18
0.37,0.17
0.38,0.16
0.39,0.54
0.4,0.53
0.41000000000000003,0.52
0.42,0.51
0.43,0.53
0.44,0.54
0.45,0.53
0.46,0.54
0.47000000000000003,0.53
0.48,0.52
0.49,0.49
0.5,0.5
0.51,0.45
0.52,0.44
0.53,0.4
0.54,0.28
0.55,0.25
0.56,0.22
0.5700000000000001,0.18
0.58,0.17
0.59,0.5700000000000001
0.6,0.54
0.61,0.55
0.62,0.54
0.63,0.53
0.64,0.52
0.65,0.51
0.66,0.51
0.67,0.49
0.68,0.48
0.6900000000000001,0.48
0.7000000000000001,0.46
0.71,0.43
0.72,0.44
0.73,0.41000000000000003
0.74,0.4
0.75,0.37
0.76,0.36
0.77,0.35000000000000003
0.78,0.33
0.79,0.32
0.8,0.31
0.81,0.3
0.8200000000000001,0.29
0.8300000000000001,0.28
0.84,0.26
0.85,0.25
0.86,0.25
0.87,0.23
0.88,0.23
0.89,0.21
0.9,0.2
0.91,0.2
0.92,0.19
0.93,0.16
0.9400000000000001,0.16
0.9500000000000001,0.52
0.96,0.54
0.97,0.5
0.98,0.52
0.99,0.51
1.0,0.54
1.01,0.56
1.02,0.5700000000000001
1.03,0.51
1.04,0.53
1.05,0.46
1.06,0.45
1.07,0.44
1.08,0.42
1.09,0.38
1.1,0.27
1.11,0.22
1.12,0.17
1.1300000000000001,0.16
1.1400000000000001,0.54
1.1500000000000001,0.16
1.16,0.56
1.17,0.58
1.18,0.54
1.19,0.53
1.2,0.52
1.21,0.51
1.22,0.5
1.23,0.49
1.24,0.52
1.25,0.46
1.26,0.46
1.27,0.42
1.28,0.41000000000000003
1.29,0.39
1.3,0.38
1.31,0.37
1.32,0.36
1.33,0.37
1.34,0.34
1.35,0.33
1.36,0.31
1.37,0.29
1.3800000000000001,0.28
1.3900000000000001,0.28
1.4000000000000001,0.26
1.41,0.25
1.42,0.24
1.43,0.23
1.44,0.22
1.45,0.21
1.46,0.2
1.47,0.16
1.48,0.16
1.49,0.55
1.5,0.54
1.51,0.53
1.52,0.52
1.53,0.51
1.54,0.54
1.55,0.54
1.56,0.52
1.57,0.52
1.58,0.51
1.59,0.54
1.6,0.49
1.61,0.52
1.62,0.46
1.6300000000000001,0.41000000000000003
1.6400000000000001,0.32
1.6500000000000001,0.39
1.6600000000000001,0.24
1.67,0.21
1.68,0.16
1.69,0.17
1.7,0.16
1.71,0.55
1.72,0.56
1.73,0.54
1.74,0.53
1.75,0.53
1.76,0.54
1.77,0.53
1.78,0.5
1.79,0.52
1.8,0.48
1.81,0.47000000000000003
1.82,0.45
1.83,0.4
1.84,0.39
1.85,0.38
1.86,0.37
1.87,0.36
1.8800000000000001,0.34
1.8900000000000001,0.34
1.9000000000000001,0.32
1.9100000000000001,0.29
1.92,0.3
1.93,0.29
1.94,0.28
1.95,0.26
1.96,0.24
1.97,0.25
1.98,0.24
1.99,0.23
2.0,0.22
2.0100000000000002,0.19
2.02,0.18
