t,omega,F,S,C,tau_R,IC,kappa
0.0,1.3264526071156206,0.0,3.077648960011281,0.9964527177631306,0.53,0.0,-0.18420680743952367
0.01,1.3282771693653062,0.0,3.0928862527202465,0.9964527177631306,0.52,0.0,-0.36841361487904734
0.02,1.489197108761091,0.0,3.125233038112523,0.9992173260282481,0.51,0.0,-0.552620422318571
0.03,1.4023895804036606,0.0,3.1584193481928473,0.9992366056190124,0.38,0.0,-0.7368272297580947
0.04,1.4651096766976237,0.0,3.1916562544854172,0.9978385567624738,0.41000000000000003,0.0,-0.9210340371976184
0.05,1.14060236427784,0.0,3.2273828869668875,0.9986281110281834,0.38,0.0,-1.1052408446371422
0.06,1.1467007810148246,0.0,3.2539665885247446,0.9993465144955492,0.39,0.0,-1.289447652076666
0.07,0.42684950989265247,0.5731504901073475,3.288650204674169,0.9992714203351759,0.39,1.0,-1.2894476519766658
0.08,0.460011256603546,0.539988743396454,3.3219357819764883,0.9960553169092493,0.38,1.0,-1.2894476518766658
0.09,0.17044906241786884,0.8295509375821312,3.356772760190804,0.9958742077704069,0.38,1.0,-1.2894476517766658
0.1,0.14255449541533718,0.8574455045846628,3.3909902377865504,0.9958632387786588,0.38,1.0,-1.2894476516766655
0.11,0.22968827428876187,0.7703117257112382,3.423811678802367,0.9985034327857484,0.39,1.0,-1.2894476515766655
0.12,0.1233605131515408,0.8766394868484592,3.4551428374883675,0.9911355218834051,0.38,1.0,-1.2894476514766655
0.13,0.2575955913326584,0.7424044086673416,3.485036422872256,0.9973335848038096,0.38,1.0,-1.2894476513766653
0.14,0.3167237171580679,0.6832762828419321,3.5151806112947983,0.9968250518439181,0.45,1.0,-1.2894476512766653
0.15,0.536364761972438,0.463635238027562,3.5439173004603512,0.9983846525723292,0.44,0.0,-1.473654458716189
0.16,0.1714757841351996,0.8285242158648004,3.5709574625032716,0.9883415539309055,0.43,1.0,-1.473654458616189
0.17,0.6003389533014158,0.39966104669858415,3.5976569271634435,0.9959831118675971,0.42,0.0,-1.6578612660557128
0.18,0.5548970319859678,0.44510296801403215,3.6193564580088715,0.9991379065974324,0.41000000000000003,0.0,-1.8420680734952364
0.19,0.7018987845058574,0.2981012154941426,3.645487268040231,0.9994906069274971,0.4,0.0,-2.02627488093476
0.2,1.1426224018564033,0.0,3.6689293620965966,0.9992694647364673,0.38,0.0,-2.210481688374284
0.21,0.6521420829776865,0.3478579170223135,3.6928036854427546,0.9945161542822927,0.53,0.0,-2.3946884958138077
0.22,1.235821961590589,0.0,3.712203917215286,0.9983149479226308,0.52,0.0,-2.578895303253331
0.23,1.2354777794424927,0.0,3.736238978996813,0.9991740632583384,0.52,0.0,-2.763102110692855
0.24,0.6314856422487298,0.36851435775127017,3.7594865276959637,0.9992271535107077,0.51,0.0,-2.947308918132378
0.25,0.1824913065811088,0.8175086934188912,3.7817879583594727,0.9989732184330883,0.55,1.0,-2.947308918032378
0.26,0.06100704272149087,0.9389929572785092,3.8023537200233353,0.9921588184744891,0.49,1.0,-2.947308917932378
0.27,0.5115722980683649,0.4884277019316351,3.8147717944290576,0.9980992163561047,0.48,0.0,-3.1315157253719015
0.28,0.24812361292606944,0.7518763870739306,3.816405809740406,0.9979679049171751,0.47000000000000003,1.0,-3.1315157252719015
0.29,0.6877572170834118,0.31224278291658825,3.814940180564583,0.9705556196867966,0.45,0.0,-3.315722532711425
0.3,0.8216225186193173,0.17837748138068266,3.816050297599696,0.9952421335121168,0.44,0.0,-3.499929340150948
0.31,0.7403258813540409,0.25967411864595913,3.809649434561696,0.998761025250044,0.43,0.0,-3.684136147590472
0.32,0.4545293081380052,0.5454706918619948,3.8022058778980354,0.9991443922269962,0.43,1.0,-3.6841361474904715
0.33,0.503828078453504,0.49617192154649603,3.8021978014801037,0.9985043018531836,0.41000000000000003,0.0,-3.8683429549299952
0.34,0.4012681560044971,0.5987318439955029,3.8021891145159215,0.997931827690461,0.4,1.0,-3.8683429548299952
0.35000000000000003,0.508607729798633,0.491392270201367,3.802821545338185,0.9940612413470253,0.38,0.0,-4.052549762269519
0.36,0.886291337650215,0.11370866234978505,3.8043926360639624,0.9978138547333951,0.38,0.0,-4.236756569709042
0.37,0.2843720508382592,0.7156279491617408,3.805278411114576,0.998918079172804,0.39,1.0,-4.2367565696090415
0.38,0.4884119871461409,0.511588012853859,3.8038283499526835,0.9982568154801661,0.54,1.0,-4.2367565695090414
0.39,0.3767672700421121,0.6232327299578879,3.8032298253653454,0.9988739821481806,0.53,1.0,-4.236756569409041
0.4,0.2500475630383327,0.7499524369616672,3.8041741575555656,0.9992161192731528,0.49,1.0,-4.236756569309041
0.41000000000000003,0.5499184395579372,0.4500815604420628,3.8036828779884724,0.9960394390864763,0.51,0.0,-4.420963376748565
0.42,0.009191061701414446,0.9908089382985855,3.803442570542373,0.9973837965201363,0.51,1.0,-4.420963376648565
0.43,0.14565182159778106,0.8543481784022189,3.8032940143518714,0.999009208903327,0.49,1.0,-4.420963376548565
0.44,0.3211018293368256,0.6788981706631745,3.8026487555629473,0.9995143244165723,0.49,1.0,-4.420963376448565
0.45,0.35138216624981855,0.6486178337501814,3.8025687043978604,0.9994494560816694,0.47000000000000003,1.0,-4.420963376348565
0.46,0.08675123873998676,0.9132487612600132,3.8033592696523866,0.9989021781782526,0.47000000000000003,1.0,-4.420963376248564
0.47000000000000003,0.009313002412727448,0.9906869975872725,3.8033321519869894,0.9991258251509089,0.46,1.0,-4.420963376148564
0.48,0.5592724249838796,0.44072757501612037,3.8063170597306146,0.999571942088663,0.45,0.0,-4.605170183588088
0.49,0.4219654570281023,0.5780345429718977,3.804546929444428,0.9993776704268087,0.43,1.0,-4.605170183488088
0.5,1.1556544579220944,0.0,3.806918620585393,0.9991312278251616,0.42,0.0,-4.789376990927612
0.51,1.2975795758074993,0.0,3.817260711716091,0.9983566459462235,0.38,0.0,-4.973583798367135
0.52,1.3775081478101674,0.0,3.8178696228784577,0.9981793374309514,0.38,0.0,-5.1577906058066585
0.53,0.8466773732301173,0.15332262676988273,3.7921197546680667,0.9985366614431028,0.53,0.0,-5.341997413246182
0.54,0.8418301187011311,0.1581698812988689,3.782291849023137,0.9972148607811229,0.52,0.0,-5.526204220685706
0.55,0.5850333869276182,0.4149666130723818,3.772145677107756,0.9880930709305976,0.51,0.0,-5.710411028125231
0.56,0.2928007294373902,0.7071992705626098,3.767717709025585,0.9928268257347602,0.5,1.0,-5.710411028025231
0.5700000000000001,0.9372528530459182,0.06274714695408179,3.7739365518139776,0.9942933570194141,0.49,0.0,-5.8946178354647545
0.58,1.3400187812378401,0.0,3.7678656397081083,0.9993678843187004,0.48,0.0,-6.078824642904278
0.59,1.0700850734473766,0.0,3.762629926079849,0.9991642931280978,0.38,0.0,-6.263031450343803
0.6,1.023415049614357,0.0,3.76175219561126,0.9977562395234627,0.38,0.0,-6.447238257783327
0.61,1.0742373641530834,0.0,3.7597994096549554,0.999202626118622,0.39,0.0,-6.6314450652228505
0.62,1.125486968769826,0.0,3.757629819097825,0.9990102417022012,0.39,0.0,-6.815651872662374
0.63,0.07280392935963302,0.927196070640367,3.756115729521142,0.9590685118546202,0.38,1.0,-6.815651872562374
0.64,0.10791446315594917,0.8920855368440508,3.7553917320741044,0.9981000373964842,0.38,1.0,-6.815651872462374
0.65,0.13667756899739497,0.8633224310026051,3.7541306791619684,0.9991502951636386,0.5,1.0,-6.815651872362374
0.66,0.04891582189411608,0.951084178105884,3.7539709411760156,0.9994024918087587,0.38,1.0,-6.815651872262374
0.67,0.08287430255213833,0.9171256974478617,3.7525601493480756,0.9983005900882174,0.48,1.0,-6.815651872162374
0.68,0.3048587551011655,0.6951412448988346,3.752833777880672,0.9968605416913792,0.47000000000000003,1.0,-6.815651872062374
0.6900000000000001,0.35590330866963804,0.644096691330362,3.7529157136093683,0.9941989338905612,0.46,1.0,-6.815651871962374
0.7000000000000001,0.075063445325986,0.924936554674014,3.7533728860269906,0.9974289117554038,0.45,1.0,-6.815651871862374
0.71,0.40695416522974653,0.5930458347702534,3.753411351401804,0.9946430133220808,0.44,1.0,-6.815651871762374
0.72,0.7338349254045963,0.26616507459540373,3.7575840735192005,0.9849160290246455,0.43,0.0,-6.999858679201898
0.73,0.5269082833456254,0.47309171665437455,3.757778319858169,0.9974870300993465,0.4,0.0,-7.184065486641422
0.74,0.6208844988102729,0.37911550118972714,3.754955932700571,0.9948236189695979,0.39,0.0,-7.3682722940809455
0.75,0.7006951085513698,0.29930489144863015,3.7550588762368475,0.9991642902073061,0.38,0.0,-7.55247910152047
0.76,0.6352367320007622,0.36476326799923775,3.7584778642237557,0.998488531469983,0.38,0.0,-7.736685908959994
0.77,0.9934350967823959,0.006564903217604057,3.7584696080919344,0.9930931339437038,0.53,0.0,-7.920892716399518
0.78,0.5857392577495927,0.4142607422504073,3.7585567469116885,0.9970249628853016,0.52,0.0,-8.105099523839042
0.79,0.22380484131934036,0.7761951586806597,3.758674283865387,0.9980850785793868,0.51,1.0,-8.105099523739042
0.8,0.796915693446141,0.203084306553859,3.755836676615587,0.9986772496547036,0.52,0.0,-8.289306331178565
0.81,0.39862098325760004,0.6013790167424,3.767846906480325,0.9959287233911167,0.49,1.0,-8.289306331078565
0.8200000000000001,0.06231783821914781,0.9376821617808522,3.7869020299447276,0.9970492199410294,0.48,1.0,-8.289306330978565
0.8300000000000001,0.16049093955433463,0.8395090604456654,3.79915143441135,0.9985170531835645,0.49,1.0,-8.289306330878565
0.84,0.5322228541351645,0.46777714586483554,3.7989554157431438,0.9923964961393983,0.46,0.0,-8.47351313831809
0.85,0.29606970924877735,0.7039302907512226,3.79719763856412,0.9969958209514652,0.45,1.0,-8.47351313821809
0.86,0.4974298107190224,0.5025701892809775,3.7986605185058733,0.9982912744397718,0.44,1.0,-8.47351313811809
0.87,0.9519791049485213,0.04802089505147866,3.796660366584299,0.9980151685229957,0.43,0.0,-8.657719945557615
0.88,0.5525415184975558,0.44745848150244416,3.7945637445875247,0.997699114158246,0.42,0.0,-8.841926752997137
0.89,0.6111424794783115,0.38885752052168854,3.7958589261164106,0.9845831222839966,0.4,0.0,-9.026133560436662
0.9,1.0539739563223267,0.0,3.796364844182537,0.9981525272977917,0.39,0.0,-9.210340367876185
0.91,0.4635710381622355,0.5364289618377645,3.797047921163491,0.998643154752724,0.38,1.0,-9.210340367776185
0.92,0.5770014300478896,0.4229985699521104,3.7961478331015632,0.9984810551505789,0.38,0.0,-9.39454717521571
0.93,0.4331125650176615,0.5668874349823385,3.798180467464666,0.9995469356433702,0.54,1.0,-9.39454717511571
0.9400000000000001,0.3390886213044832,0.6609113786955167,3.7957365921841677,0.9992277126213241,0.52,1.0,-9.39454717501571
0.9500000000000001,0.3647249109421376,0.6352750890578625,3.79306258688491,0.9883739267034773,0.52,1.0,-9.39454717491571
0.96,0.09622295433459488,0.9037770456654051,3.7934748877748965,0.9583654659425069,0.51,1.0,-9.39454717481571
0.97,0.13769048147716445,0.8623095185228355,3.79184765582254,0.9974056565795228,0.5,1.0,-9.39454717471571
0.98,0.25039216886115484,0.7496078311388452,3.7904064886206945,0.9673315141747613,0.49,1.0,-9.39454717461571
0.99,0.2543429655472537,0.7456570344527462,3.7871194384531326,0.9994080251142826,0.48,1.0,-9.39454717451571
1.0,0.01446984161789621,0.9855301583821038,3.786231735300581,0.9995605549585235,0.52,1.0,-9.39454717441571
1.01,0.015659146122360065,0.9843408538776399,3.7862954789082326,0.9991263197642754,0.46,1.0,-9.39454717431571
1.02,0.24053431541472442,0.7594656845852756,3.7875829448251563,0.9991406582676224,0.45,1.0,-9.39454717421571
1.03,0.5188503488033405,0.48114965119665953,3.7946638599347486,0.9989527155988134,0.44,0.0,-9.578753981655233
1.04,0.6648627763507313,0.3351372236492687,3.7943540244157408,0.9990251031617566,0.43,0.0,-9.762960789094757
1.05,0.35310786590470017,0.6468921340952998,3.797391221915879,0.9930568486158827,0.38,1.0,-9.762960788994757
1.06,0.6592372596049473,0.3407627403950527,3.7988621579016333,0.9991898505356993,0.38,0.0,-9.947167596434282
1.07,0.856927616826881,0.143072383173119,3.802668070936519,0.9947360850679398,0.38,0.0,-10.131374403873805
1.08,0.9072483144441142,0.09275168555588575,3.801784861766417,0.9987818017049209,0.38,0.0,-10.31558121131333
1.09,0.5349923422301786,0.46500765776982145,3.8021203161841415,0.9947775648013896,0.54,0.0,-10.499788018752852
1.1,0.19956701505680766,0.8004329849431924,3.798059110431518,0.9985579506468679,0.53,1.0,-10.499788018652852
1.11,0.06097356221844318,0.9390264377815568,3.80264548390851,0.9918608304047792,0.52,1.0,-10.499788018552854
1.12,0.3118571534313959,0.6881428465686041,3.7993826174357963,0.998333426321096,0.51,1.0,-10.499788018452856
1.1300000000000001,0.3825608831064536,0.6174391168935465,3.795256266935199,0.9986650501024902,0.5,1.0,-10.499788018352856
1.1400000000000001,0.9895215376646874,0.010478462335312577,3.7978043102510837,0.9993124852157137,0.49,0.0,-10.683994825792379
1.1500000000000001,1.1822069089003777,0.0,3.7944094751564648,0.9994776875143959,0.38,0.0,-10.868201633231902
1.16,0.9709996066318567,0.029000393368143307,3.7963183184743707,0.9991451944853156,0.4,0.0,-11.052408440671424
1.17,0.5820152926816147,0.41798470731838533,3.793219211286342,0.9910737505116751,0.39,0.0,-11.236615248110947
1.18,0.6557845227095653,0.34421547729043467,3.789920878255327,0.9992631367846242,0.38,0.0,-11.42082205555047
1.19,0.12682629052768252,0.8731737094723175,3.7878809099381305,0.998302318688624,0.38,1.0,-11.420822055450472
1.2,0.2620490566145204,0.7379509433854796,3.7854147146883337,0.9955283578030577,0.38,1.0,-11.420822055350472
1.21,0.06138515983718462,0.9386148401628154,3.7868163745115786,0.9992319070394565,0.38,1.0,-11.420822055250474
1.22,0.06356499088579619,0.9364350091142039,3.786889983356609,0.9994861369731254,0.39,1.0,-11.420822055150476
1.23,0.07757500850813345,0.9224249914918665,3.7868948657749577,0.9989036453078436,0.38,1.0,-11.420822055050476
1.24,0.28137889393945215,0.7186211060605479,3.7868858257762033,0.9964771178276145,0.38,1.0,-11.420822054950477
1.25,0.22360958083542717,0.7763904191645729,3.7872823693129765,0.998814035384158,0.48,1.0,-11.420822054850477
1.26,0.10465439491003875,0.8953456050899613,3.78606275037391,0.9884283997985635,0.46,1.0,-11.420822054750479
1.27,0.6594132510933038,0.34058674890669616,3.783043199913451,0.999041775809519,0.41000000000000003,0.0,-11.605028862190002
1.28,0.4926800539716367,0.5073199460283633,3.785075833143846,0.9988757993964552,0.44,1.0,-11.605028862090004
1.29,0.8975529542469353,0.10244704575306474,3.7817052526495925,0.9959048787944984,0.39,0.0,-11.789235669529527
1.3,0.611602156116236,0.38839784388376397,3.782492003797794,0.9991096784905633,0.38,0.0,-11.97344247696905
1.31,1.05255690733824,0.0,3.780280083209946,0.9990608677029637,0.38,0.0,-12.157649284408572
1.32,0.9188759444612155,0.08112405553878455,3.7793613283576275,0.9989614123091795,0.38,0.0,-12.341856091848095
1.33,0.9237180522588149,0.07628194774118513,3.7797648638198975,0.9991484658158389,0.38,0.0,-12.526062899287618
1.34,0.797569186802392,0.20243081319760803,3.7829682843360986,0.999168343222864,0.53,0.0,-12.710269706727141
1.35,0.7571542353717923,0.24284576462820773,3.785170644549002,0.9979539173747299,0.52,0.0,-12.894476514166664
1.36,0.31910715199271106,0.6808928480072889,3.786071497364501,0.9514398674519868,0.51,1.0,-12.894476514066664
1.37,0.2549334794464167,0.7450665205535834,3.7826461901512785,0.9973939432240182,0.5,1.0,-12.894476513966666
1.3800000000000001,0.3795819989106986,0.6204180010893015,3.789544627358469,0.9891202707687989,0.49,1.0,-12.894476513866666
1.3900000000000001,0.3979516004676852,0.6020483995323148,3.7909841046380284,0.9941110527693355,0.48,1.0,-12.894476513766667
1.4000000000000001,0.4511425829478617,0.5488574170521383,3.7965791611257487,0.9965226463147674,0.45,1.0,-12.89447651366667
1.41,0.7174883898319545,0.2825116101680455,3.7787691121081703,0.9978724752487353,0.44,0.0,-13.078683321106192
1.42,0.5346651542155247,0.46533484578447526,3.778952574705538,0.9985275903226106,0.42,0.0,-13.262890128545715
1.43,0.5337394786140633,0.46626052138593665,3.7758723757561,0.9972613041129003,0.42,0.0,-13.447096935985238
1.44,0.7891718865557231,0.21082811344427688,3.7684495827276097,0.9911846283965311,0.4,0.0,-13.63130374342476
1.45,0.7175577719543842,0.2824422280456158,3.7675249613602033,0.9935560839129792,0.39,0.0,-13.815510550864284
1.46,0.4570482032976136,0.5429517967023865,3.77098855280616,0.9990657074628705,0.38,1.0,-13.815510550764284
1.47,0.6342456899120651,0.3657543100879349,3.7717193456850193,0.9993405019299333,0.39,0.0,-13.999717358203807
1.48,0.4570504780338739,0.5429495219661261,3.7725646674916598,0.9964116686066318,0.38,1.0,-13.999717358103808
1.49,0.6721965540577906,0.32780344594220945,3.773884075176752,0.9943633122175348,0.52,0.0,-14.183924165543331
1.5,0.6929541001007287,0.30704589989927134,3.771984909790549,0.9980424148455953,0.51,0.0,-14.368130972982854
1.51,0.18622843044869303,0.813771569551307,3.7717942769480963,0.9991083785614437,0.5,1.0,-14.368130972882854
1.52,0.37031773033747445,0.6296822696625255,3.77093872948262,0.9970431770134629,0.54,1.0,-14.368130972782856
1.53,0.20298432151217377,0.7970156784878262,3.772646842892637,0.9985119388054325,0.54,1.0,-14.368130972682858
1.54,0.2189068845054056,0.7810931154945944,3.772190640086842,0.9985115935952987,0.53,1.0,-14.368130972582858
1.55,0.24138230549658388,0.7586176945034161,3.7719170135067084,0.9991414297790038,0.53,1.0,-14.36813097248286
1.56,0.03391481645596776,0.9660851835440323,3.7711576119055263,0.9990050513644222,0.5,1.0,-14.36813097238286
1.57,0.014221165786983824,0.9857788342130162,3.7713519092940726,0.9983826113651215,0.5,1.0,-14.368130972282861
1.58,0.18734323822375795,0.812656761776242,3.774248129256378,0.9930017516595139,0.48,1.0,-14.368130972182863
1.59,0.2647212426700386,0.7352787573299614,3.773059162793814,0.9987945545096961,0.43,1.0,-14.368130972082863
1.6,0.8102112918103624,0.18978870818963756,3.779204297030697,0.9993905881669112,0.48,0.0,-14.552337779522386
1.61,0.726701779826054,0.273298220173946,3.7742613118627997,0.9990724355484694,0.41000000000000003,0.0,-14.736544586961909
1.62,0.9583037667248644,0.04169623327513561,3.788541403013602,0.9994649180066975,0.4,0.0,-14.920751394401432
1.6300000000000001,0.5911037604444814,0.40889623955551857,3.7901328030870283,0.9995148487887683,0.55,0.0,-15.104958201840955
1.6400000000000001,1.4902722956738317,0.0,3.792335020507821,0.9987724527703562,0.4,0.0,-15.289165009280477
