t,omega,F,S,C,tau_R,IC,kappa,kappa_cum
0.0,0.21269822906518804,0.787301770934812,0.0,0.3204416449348264,0.58,0.9423258523951094,-0.05940413811495781,-0.0005940413811495781
0.01,0.21269822906518804,0.787301770934812,0.01976237194179765,0.3204416449348264,0.58,0.9422463851093262,-0.059488472674711385,-0.001188926107896692
0.02,0.21269822906518804,0.787301770934812,0.06171531044953851,0.6818417039665959,0.58,0.936343913860467,-0.0657724299722316,-0.001846650407619008
0.03,0.21269822906518804,0.787301770934812,0.10475709062071731,0.6872317822457672,0.58,0.8515747377941302,-0.16066799906318222,-0.00345333039825083
0.04,0.17483919732939543,0.8251608026706045,0.1478644927619103,0.4366061180479101,0.58,0.8803651731190109,-0.12741847677355256,-0.004727515165986356
0.05,0.31200350524792503,0.6879964947520749,0.19420100495027928,0.5499406684195061,0.58,0.7728562033196593,-0.2576622589263681,-0.0073041377552500375
0.06,0.17483919732939543,0.8251608026706045,0.2286793737662176,0.7196595782984863,0.58,0.8995957144205217,-0.10580981166447166,-0.008362235871894755
0.07,0.17483919732939543,0.8251608026706045,0.273663120926772,0.6971835487867406,0.58,0.7045684774503997,-0.3501697381023987,-0.011863933252918742
0.08,0.09952615068202815,0.9004738493179718,0.3168336481004642,0.297688647246826,0.58,0.7185252171015581,-0.3305544632908976,-0.015169477885827719
0.09,0.09909631472269563,0.9009036852773044,0.36201630186641337,0.2883523026035005,0.58,0.704244272279412,-0.35062999113768745,-0.01867577779720459
0.1,0.09909631472269563,0.9009036852773044,0.40639547945872867,0.28780550852154313,0.58,0.7197622792841956,-0.3288342752567419,-0.02196412054977201
0.11,0.09952615068202815,0.9004738493179718,0.44896403395257867,0.5282999112039816,0.58,0.6833185042210472,-0.380794182258733,-0.02577206237235934
0.12,0.09909631472269563,0.9009036852773044,0.48959973106404187,0.15802944569246105,0.58,0.7696139995391287,-0.26186617613321594,-0.028390724133691498
0.13,0.18779083461964982,0.8122091653803502,0.5283709330297748,0.38570261263270494,0.58,0.8276242255341627,-0.18919604942380902,-0.030282684627929587
0.14,0.22557615713742876,0.7744238428625713,0.5674671606122113,0.3451382925333298,0.58,0.8016604863156359,-0.2210700820435791,-0.03249338544836538
0.15,0.18779083461964982,0.8122091653803502,0.6047378983024662,0.5092053834160516,0.58,0.7875244448074339,-0.2388608550407802,-0.03488199399877318
0.16,0.18779083461964982,0.8122091653803502,0.6398082844836182,0.1245789375747286,0.58,0.8360184557750819,-0.17910457789367146,-0.036673039777709894
0.17,0.22557615713742876,0.7744238428625713,0.6744367950293754,0.29389527275692195,0.58,0.8306562559237456,-0.1855392087798635,-0.03852843186550853
0.18,0.33470896959015184,0.6652910304098482,0.7025805215902977,0.6604996465322075,0.58,0.8080513387330744,-0.21312967206806266,-0.04065972858618916
0.19,0.33470896959015184,0.6652910304098482,0.7364715018873642,0.7671018234228425,0.58,0.7434868958694223,-0.296404124710552,-0.04362376983329468
0.2,0.33470896959015184,0.6652910304098482,0.7668752875653749,0.6966169266102245,0.58,0.8640759146288264,-0.14609463831111866,-0.04508471621640586
0.21,0.44042176440116404,0.5595782355988359,0.7978396633791904,0.23338179942406642,0.58,0.7827911713114983,-0.2448893090940633,-0.04753360930734649
0.22,0.33453416908272293,0.6654658309172771,0.8230012589046385,0.4986273694970971,0.58,0.8597063299596277,-0.15116441321031088,-0.0490452534394496
0.23,0.33453416908272293,0.6654658309172771,0.854174108284315,0.6700482342151206,0.58,0.8762545110851256,-0.13209868106305217,-0.05036624025008012
0.24,0.33453416908272293,0.6654658309172771,0.884325573698991,0.684578634353986,0.58,0.8610884191197671,-0.14955807469492222,-0.051861820997029344
0.25,0.33453416908272293,0.6654658309172771,0.9132499486535495,0.6202326639433425,0.58,0.8791986151948518,-0.1287444395940711,-0.05314926539297005
0.26,0.33453416908272293,0.6654658309172771,0.9399232061035739,0.17519184262960547,0.58,0.8741871453454818,-0.1344607896996657,-0.05449387328996671
0.27,0.12051373660547404,0.879486263394526,0.9560291253041944,0.46849767569484885,0.58,0.9820554174115541,-0.018107528827918166,-0.05467494857824589
0.28,0.05862460995719467,0.9413753900428053,0.9581484006215516,0.45187219959248076,0.58,0.9726443616812956,-0.02773676033676754,-0.054952316181613566
0.29,0.05862460995719467,0.9413753900428053,0.9562475177380507,0.05243122392413733,0.58,0.9902310735325778,-0.009816945381502042,-0.05505048563542858
0.3,0.17647986093418697,0.823520139065813,0.957687310630782,0.25988311296789646,0.58,0.9486730780125324,-0.05269102021183333,-0.055577395837546915
0.31,0.17647986093418697,0.823520139065813,0.949385557916467,0.5750458366503248,0.58,0.9377669682375177,-0.06425378489209807,-0.056219933686467896
0.32,0.17647986093418697,0.823520139065813,0.9397314587161182,0.6621924010690727,0.58,0.9648104621321966,-0.035823598868084505,-0.05657816967514874
0.33,0.2945756099415684,0.7054243900584316,0.9397209838123296,0.5284448794758323,0.58,0.89827593701433,-0.10727796722220545,-0.05765094934737079
0.34,0.2945756099415684,0.7054243900584316,0.9397097170459497,0.4475083356128761,0.58,0.9049814083990724,-0.0998408676487196,-0.05864935802385799
0.35000000000000003,0.18262632932819226,0.8173736706718078,0.9405299633571383,0.21934898833465355,0.58,0.9261352611116238,-0.07673497389069997,-0.05941670776276498
0.36,0.18262632932819226,0.8173736706718078,0.9425676271252468,0.43380682880863874,0.58,0.8997092208964758,-0.10568364464006677,-0.060473544209165654
0.37,0.18262632932819226,0.8173736706718078,0.9437164543048081,0.607823343986409,0.58,0.9224243273016532,-0.08074992561641178,-0.06128104346532977
0.38,0.18262632932819226,0.8173736706718078,0.941835762730063,0.4901347997910402,0.58,0.8503588544529337,-0.16209682512232296,-0.062902011716553
0.39,0.371105527313431,0.6288944726865691,0.9410594919228266,0.5982499156638954,0.58,0.7259099902418162,-0.3203292384509046,-0.06610530410106205
0.4,0.371105527313431,0.6288944726865691,0.9422842661879272,0.6815071297466245,0.58,0.779720816763349,-0.2488193377711107,-0.06859349747877316
0.41000000000000003,0.2029064223846115,0.7970935776153885,0.9416470893798324,0.29684615983525486,0.58,0.8129692785556389,-0.2070619456021555,-0.07066411693479471
0.42,0.371105527313431,0.6288944726865691,0.9413354168786271,0.3902285937695295,0.58,0.6633670468766998,-0.41042681171138007,-0.07476838505190851
0.43,0.371105527313431,0.6288944726865691,0.9411427433671956,0.628608688727546,0.58,0.7001818494908842,-0.3564151784080276,-0.07833253683598879
0.44,0.4600371920332349,0.5399628079667651,0.9403058595172235,0.7755154492579622,0.58,0.5145388859526275,-0.664484127046334,-0.08497737810645212
0.45,0.4600371920332349,0.5399628079667651,0.9402020352402316,0.7529280828323359,0.58,0.652560981454049,-0.4268506706608679,-0.0892458848130608
0.46,0.6158979198482698,0.3841020801517302,0.9412273777930471,0.6043362294107235,0.58,0.4548757972138907,-0.7877308484674016,-0.0971231932977348
0.47000000000000003,0.6158979198482698,0.3841020801517302,0.9411922068870332,0.6573692880801107,0.58,0.4674532365883359,-0.7604559425521359,-0.10472775272325617
0.48,0.4600371920332349,0.5399628079667651,0.9450635545186742,0.7967430103799793,0.58,0.4651006459677035,-0.7655014323731545,-0.11238276704698771
0.49,0.6158979198482698,0.3841020801517302,0.9427677416226943,0.729414760985672,0.58,0.520639869305419,-0.6526966867711379,-0.1189097339146991
0.5,0.6158979198482698,0.3841020801517302,0.9458437632857315,0.6587654798220149,0.58,0.4990738692878723,-0.6950011395045168,-0.12585974530974425
0.51,0.6013765258821934,0.39862347411780663,0.9592571862267089,0.504901941291573,0.58,0.5791439913086793,-0.5462041254081286,-0.13132178656382554
0.52,0.23470012960461736,0.7652998703953826,0.9600469281513436,0.4792543175044112,0.58,0.8510214084698755,-0.16131798213573856,-0.13293496638518293
0.53,0.23470012960461736,0.7652998703953826,0.9266500194782826,0.5338997852146439,0.58,0.9165027635322296,-0.08719018548521097,-0.13380686824003504
0.54,0.1499678747418865,0.8500321252581136,0.9139034817255678,0.3754058248779625,0.58,0.9742963077176201,-0.0260397939712852,-0.1340672661797479
0.55,0.14500026969881222,0.8549997303011878,0.9007441609061155,0.12227008936795894,0.58,0.9704012086421412,-0.030045665538842383,-0.13436772283513632
0.56,0.09446673141081989,0.9055332685891802,0.8950012015853444,0.18853541317694536,0.58,0.9892427338550571,-0.010815533739656054,-0.13447587817253287
0.5700000000000001,0.09446673141081989,0.9055332685891802,0.9030668787748011,0.22629319557044558,0.58,0.9869058400294376,-0.013180634139671394,-0.1346076845139296
0.58,0.1499678747418865,0.8500321252581136,0.895193063829213,0.7263223465741715,0.58,0.9650766188425965,-0.03554777266876644,-0.13496316224061725
0.59,0.19862688916480023,0.8013731108351998,0.8884024795647576,0.6674410002809186,0.58,0.8584042090045644,-0.15268017271434786,-0.13648996396776072
0.6,0.3420648458511757,0.6579351541488243,0.8872640859986425,0.4274146674690475,0.58,0.7191288096395565,-0.32971477230288593,-0.13978711169078958
0.61,0.3420648458511757,0.6579351541488243,0.8847313734539458,0.6777883219119882,0.5400000000000001,0.635048419521259,-0.4540540160350096,-0.14432765185113966
0.62,0.33299866168947334,0.6670013383105267,0.8819174709864688,0.6288523823533673,0.5400000000000001,0.7212251201418003,-0.3268039433601547,-0.1475956912847412
0.63,0.33299866168947334,0.6670013383105267,0.8799537362247156,0.03784415097543106,0.5400000000000001,0.6476924246738328,-0.4343393331550846,-0.15193908461629207
0.64,0.33299866168947334,0.6670013383105267,0.879014730385125,0.46860546366031347,0.5400000000000001,0.5839470730586551,-0.5379449114602858,-0.15731853373089494
0.65,0.3173276894832339,0.682672310516766,0.8773791775894991,0.663740612915567,0.5400000000000001,0.6095356912256592,-0.4950577571648184,-0.16226911130254312
0.66,0.29820757671185927,0.7017924232881407,0.8771720015804844,0.7373774368263754,0.5400000000000001,0.7914509057240776,-0.23388741583030262,-0.16460798546084615
0.67,0.11768643837518487,0.8823135616248151,0.8753422413095018,0.4965026749651279,0.5400000000000001,0.8091435065443562,-0.21177897772593335,-0.1667257752381055
0.68,0.11768643837518487,0.8823135616248151,0.875697130392382,0.34769144464180546,0.5400000000000001,0.8227097521164446,-0.1951517989284063,-0.16867729322738956
0.6900000000000001,0.11768643837518487,0.8823135616248151,0.8758033988993105,0.223416355164105,0.5400000000000001,0.7892911128983254,-0.23662004913411047,-0.17104349371873068
0.7000000000000001,0.11768643837518487,0.8823135616248151,0.8763963396225183,0.39438634673350365,0.5400000000000001,0.7562328082145794,-0.2794059896114411,-0.17383755361484507
