t,omega,F,S,C,tau_R,IC,kappa,kappa_cum,omega_gate,S_gate,C_gate,regime_gate
0.0,0.212698229065188,0.787301770934812,0.0,0.3204416449348264,0.58,0.9423258523951094,-0.0594041381149578,-0.0005940413811495,0.015411198874458288,0.0,0.05692586435240429,Stable
0.01,0.212698229065188,0.787301770934812,0.0197623719417976,0.3204416449348264,0.58,0.9422463851093262,-0.0594884726747113,-0.0011889261078966,0.015411198874458288,0.0029731761922851562,0.05692586435240429,Stable
0.02,0.212698229065188,0.787301770934812,0.0617153104495385,0.6818417039665959,0.58,0.936343913860467,-0.0657724299722316,-0.001846650407619,0.015411198874458288,0.009284841529572221,0.12112791506144274,Stable
0.03,0.212698229065188,0.787301770934812,0.1047570906207173,0.6872317822457672,0.58,0.8515747377941302,-0.1606679990631822,-0.0034533303982508,0.015411198874458288,0.015760319091446293,0.12208545247837664,Stable
0.04,0.1748391973293954,0.8251608026706045,0.1478644927619103,0.4366061180479101,0.58,0.8803651731190109,-0.1274184767735525,-0.0047275151659863,0.01266809626453524,0.022245669237416634,0.07756226771486009,Stable
0.05,0.312003505247925,0.6879964947520749,0.1942010049502792,0.5499406684195061,0.58,0.7728562033196593,-0.2576622589263681,-0.00730413775525,0.022606432080025423,0.029216827116527882,0.09769594054694902,Stable
0.06,0.1748391973293954,0.8251608026706045,0.2286793737662176,0.7196595782984863,0.58,0.8995957144205217,-0.1058098116644716,-0.0083622358718947,0.01266809626453524,0.03440397092772014,0.1278461903491361,Stable
0.07,0.1748391973293954,0.8251608026706045,0.273663120926772,0.6971835487867406,0.58,0.7045684774503997,-0.3501697381023987,-0.0118639332529187,0.01266809626453524,0.041171610282521684,0.12385336536090309,Stable
0.08,0.0995261506820281,0.9004738493179718,0.3168336481004642,0.297688647246826,0.58,0.7185252171015581,-0.3305544632908976,-0.0151694778858277,0.0072112368218164675,0.04766645735752042,0.05288383648096107,Stable
0.09,0.0990963147226956,0.9009036852773044,0.3620163018664133,0.2883523026035005,0.58,0.704244272279412,-0.3506299911376874,-0.0186757777972045,0.007180092756904501,0.05446402147972284,0.051225252157998495,Stable
0.1,0.0990963147226956,0.9009036852773044,0.4063954794587286,0.2878055085215431,0.58,0.7197622792841956,-0.3288342752567419,-0.021964120549772,0.007180092756904501,0.06114070556598868,0.05112811520270501,Stable
0.11,0.0995261506820281,0.9004738493179718,0.4489640339525786,0.5282999112039816,0.58,0.6833185042210472,-0.380794182258733,-0.0257720623723593,0.0072112368218164675,0.06754498806476225,0.09385150013414058,Stable
0.12,0.0990963147226956,0.9009036852773044,0.4895997310640418,0.158029445692461,0.58,0.7696139995391287,-0.2618661761332159,-0.0283907241336914,0.007180092756904501,0.07365847927748373,0.028073638153381517,Stable
0.13,0.1877908346196498,0.8122091653803502,0.5283709330297748,0.3857026126327049,0.58,0.8276242255341627,-0.189196049423809,-0.0302826846279295,0.013606516198294005,0.07949146405128975,0.06851935431664305,Stable
0.14,0.2255761571374287,0.7744238428625713,0.5674671606122113,0.3451382925333298,0.58,0.8016604863156359,-0.2210700820435791,-0.0324933854483653,0.01634427815529915,0.08537334773400769,0.06131317802830766,Stable
0.15,0.1877908346196498,0.8122091653803502,0.6047378983024662,0.5092053834160516,0.58,0.7875244448074339,-0.2388608550407802,-0.0348819939987731,0.013606516198294005,0.09098059317478405,0.09045939266025094,Stable
0.16,0.1877908346196498,0.8122091653803502,0.6398082844836182,0.1245789375747286,0.58,0.8360184557750819,-0.1791045778936714,-0.0366730397777098,0.013606516198294005,0.09625680382172135,0.02213121737965118,Stable
0.17,0.2255761571374287,0.7744238428625713,0.6744367950293754,0.2938952727569219,0.58,0.8306562559237456,-0.1855392087798635,-0.0385284318655085,0.01634427815529915,0.10146653590409281,0.05220995053304044,Stable
0.18,0.3347089695901518,0.6652910304098482,0.7025805215902977,0.6604996465322075,0.58,0.8080513387330744,-0.2131296720680626,-0.0406597285861891,0.02425157237128631,0.10570065608053487,0.11733653811117675,Stable
0.19,0.3347089695901518,0.6652910304098482,0.7364715018873642,0.7671018234228425,0.58,0.7434868958694223,-0.296404124710552,-0.0436237698332946,0.02425157237128631,0.11079942944889391,0.1362742172713918,Stable
0.2,0.3347089695901518,0.6652910304098482,0.7668752875653749,0.6966169266102245,0.58,0.8640759146288264,-0.1460946383111186,-0.0450847162164058,0.02425157237128631,0.11537356720925121,0.12375270598135839,Stable
0.21,0.440421764401164,0.5595782355988359,0.7978396633791904,0.2333817994240664,0.58,0.7827911713114983,-0.2448893090940633,-0.0475336093073464,0.03191106681826642,0.12003204369424708,0.041459844144279424,Stable
0.22,0.3345341690827229,0.6654658309172771,0.8230012589046385,0.4986273694970971,0.58,0.8597063299596277,-0.1511644132103108,-0.0490452534394496,0.024238907078325562,0.12381751322171547,0.08858022809164212,Stable
0.23,0.3345341690827229,0.6654658309172771,0.854174108284315,0.6700482342151206,0.58,0.8762545110851256,-0.1320986810630521,-0.0503662402500801,0.024238907078325562,0.1285073537881366,0.11903282701677484,Stable
0.24,0.3345341690827229,0.6654658309172771,0.884325573698991,0.684578634353986,0.58,0.8610884191197671,-0.1495580746949222,-0.0518618209970293,0.024238907078325562,0.1330435308926583,0.12161412567244566,Stable
0.25,0.3345341690827229,0.6654658309172771,0.9132499486535496,0.6202326639433425,0.58,0.8791986151948518,-0.1287444395940711,-0.05314926539297,0.024238907078325562,0.13739509674947417,0.11018318328053181,Stable
0.26,0.3345341690827229,0.6654658309172771,0.939923206103574,0.1751918426296054,0.58,0.8741871453454818,-0.1344607896996657,-0.0544938732899667,0.024238907078325562,0.14140799025510525,0.03112250616242169,Stable
0.27,0.120513736605474,0.879486263394526,0.9560291253041944,0.4684976756948488,0.58,0.982055417411554,-0.0181075288279181,-0.0546749485782458,0.008731907031354867,0.1438310665772786,0.08322774382663624,Stable
0.28,0.0586246099571946,0.9413753900428052,0.9581484006215516,0.4518721995924807,0.58,0.9726443616812956,-0.0277367603367675,-0.0549523161816135,0.004247687096214493,0.14414990375618714,0.08027425880882579,Stable
0.29,0.0586246099571946,0.9413753900428052,0.9562475177380508,0.0524312239241373,0.58,0.9902310735325778,-0.009816945381502,-0.0550504856354285,0.004247687096214493,0.14386392291592204,0.009314309760028294,Stable
0.3,0.1764798609341869,0.823520139065813,0.957687310630782,0.2598831129678964,0.58,0.9486730780125324,-0.0526910202118333,-0.0555773958375469,0.012786971692932804,0.1440805344625065,0.04616775338080651,Stable
0.31,0.1764798609341869,0.823520139065813,0.949385557916467,0.5750458366503248,0.58,0.9377669682375176,-0.064253784892098,-0.0562199336864678,0.012786971692932804,0.1428315662922315,0.10215582715607732,Stable
0.32,0.1764798609341869,0.823520139065813,0.9397314587161182,0.6621924010690727,0.58,0.9648104621321966,-0.0358235988680845,-0.0565781696751487,0.012786971692932804,0.1413791425657188,0.11763725281749124,Stable
0.33,0.2945756099415684,0.7054243900584316,0.9397209838123296,0.5284448794758323,0.58,0.89827593701433,-0.1072779672222054,-0.0576509493473707,0.021343681742564066,0.14137756665496007,0.09387725347896708,Stable
